time,temperature
2026-02-28T00:00,9.7
2026-02-28T01:00,9.2
2026-02-28T02:00,9.3
2026-02-28T03:00,9.0
2026-02-28T04:00,8.5
2026-02-28T05:00,8.0
2026-02-28T06:00,7.3
2026-02-28T07:00,8.6
2026-02-28T08:00,10.0
2026-02-28T09:00,11.4
2026-02-28T10:00,13.7
2026-02-28T11:00,15.3
2026-02-28T12:00,16.7
2026-02-28T13:00,17.1
2026-02-28T14:00,17.2
2026-02-28T15:00,17.1
2026-02-28T16:00,16.6
2026-02-28T17:00,15.8
2026-02-28T18:00,14.6
2026-02-28T19:00,14.0
2026-02-28T20:00,13.4
2026-02-28T21:00,12.4
2026-02-28T22:00,11.9
2026-02-28T23:00,11.4
2026-03-01T00:00,10.8
2026-03-01T01:00,10.0
2026-03-01T02:00,8.9
2026-03-01T03:00,8.2
2026-03-01T04:00,7.6
2026-03-01T05:00,7.0
2026-03-01T06:00,6.5
2026-03-01T07:00,6.4
2026-03-01T08:00,6.5
2026-03-01T09:00,7.1
2026-03-01T10:00,7.9
2026-03-01T11:00,8.7
2026-03-01T12:00,9.6
2026-03-01T13:00,10.4
2026-03-01T14:00,10.4
2026-03-01T15:00,10.8
2026-03-01T16:00,10.4
2026-03-01T17:00,9.7
2026-03-01T18:00,8.3
2026-03-01T19:00,7.0
2026-03-01T20:00,5.8
2026-03-01T21:00,4.7
2026-03-01T22:00,4.3
2026-03-01T23:00,3.6
2026-03-02T00:00,3.3
2026-03-02T01:00,3.5
2026-03-02T02:00,3.9
2026-03-02T03:00,3.2
2026-03-02T04:00,3.0
2026-03-02T05:00,2.6
2026-03-02T06:00,3.0
2026-03-02T07:00,3.8
2026-03-02T08:00,5.5
2026-03-02T09:00,7.7
2026-03-02T10:00,9.8
2026-03-02T11:00,11.8
2026-03-02T12:00,13.0
2026-03-02T13:00,13.6
2026-03-02T14:00,13.8
2026-03-02T15:00,13.4
2026-03-02T16:00,12.9
2026-03-02T17:00,11.9
2026-03-02T18:00,10.1
2026-03-02T19:00,8.7
2026-03-02T20:00,7.5
2026-03-02T21:00,7.0
2026-03-02T22:00,6.0
2026-03-02T23:00,5.3
2026-03-03T00:00,4.7
2026-03-03T01:00,4.1
2026-03-03T02:00,3.4
2026-03-03T03:00,3.0
2026-03-03T04:00,2.4
2026-03-03T05:00,1.7
2026-03-03T06:00,2.3
2026-03-03T07:00,4.0
2026-03-03T08:00,6.0
2026-03-03T09:00,8.0
2026-03-03T10:00,10.5
2026-03-03T11:00,12.5
2026-03-03T12:00,14.0
2026-03-03T13:00,15.1
2026-03-03T14:00,15.3
2026-03-03T15:00,15.4
2026-03-03T16:00,14.6
2026-03-03T17:00,13.3
2026-03-03T18:00,11.8
2026-03-03T19:00,10.5
2026-03-03T20:00,8.7
2026-03-03T21:00,8.5
2026-03-03T22:00,7.8
2026-03-03T23:00,7.5
2026-03-04T00:00,6.8
2026-03-04T01:00,5.9
2026-03-04T02:00,5.1
2026-03-04T03:00,4.7
2026-03-04T04:00,5.1
2026-03-04T05:00,5.0
2026-03-04T06:00,5.4
2026-03-04T07:00,6.0
2026-03-04T08:00,6.6
2026-03-04T09:00,7.9
2026-03-04T10:00,8.4
2026-03-04T11:00,9.4
2026-03-04T12:00,10.0
2026-03-04T13:00,10.8
2026-03-04T14:00,11.2
2026-03-04T15:00,11.0
2026-03-04T16:00,10.4
2026-03-04T17:00,9.1
2026-03-04T18:00,7.6
2026-03-04T19:00,6.8
2026-03-04T20:00,6.1
2026-03-04T21:00,5.6
2026-03-04T22:00,3.8
2026-03-04T23:00,3.4
2026-03-05T00:00,3.0
2026-03-05T01:00,2.2
2026-03-05T02:00,1.5
2026-03-05T03:00,1.3
2026-03-05T04:00,0.7
2026-03-05T05:00,0.3
2026-03-05T06:00,0.7
2026-03-05T07:00,2.0
2026-03-05T08:00,4.4
2026-03-05T09:00,6.8
2026-03-05T10:00,8.6
2026-03-05T11:00,10.2
2026-03-05T12:00,11.3
2026-03-05T13:00,12.3
2026-03-05T14:00,12.6
2026-03-05T15:00,12.6
2026-03-05T16:00,11.6
2026-03-05T17:00,10.1
2026-03-05T18:00,8.9
2026-03-05T19:00,7.4
2026-03-05T20:00,6.3
2026-03-05T21:00,5.3
2026-03-05T22:00,4.6
2026-03-05T23:00,3.7
2026-03-06T00:00,3.2
2026-03-06T01:00,2.9
2026-03-06T02:00,2.5
2026-03-06T03:00,2.1
2026-03-06T04:00,1.6
2026-03-06T05:00,1.0
2026-03-06T06:00,1.3
2026-03-06T07:00,2.5
2026-03-06T08:00,4.7
2026-03-06T09:00,7.7
2026-03-06T10:00,10.5
2026-03-06T11:00,12.7
2026-03-06T12:00,14.1
2026-03-06T13:00,15.0
2026-03-06T14:00,15.0
2026-03-06T15:00,14.9
2026-03-06T16:00,13.9
2026-03-06T17:00,12.4
2026-03-06T18:00,10.6
2026-03-06T19:00,8.8
2026-03-06T20:00,8.1
2026-03-06T21:00,7.3
2026-03-06T22:00,6.5
2026-03-06T23:00,5.9
2026-03-07T00:00,5.1
2026-03-07T01:00,4.6
2026-03-07T02:00,4.2
2026-03-07T03:00,3.6
2026-03-07T04:00,2.8
2026-03-07T05:00,2.9
2026-03-07T06:00,3.3
2026-03-07T07:00,4.2
2026-03-07T08:00,6.1
2026-03-07T09:00,9.0
2026-03-07T10:00,11.6
2026-03-07T11:00,13.7
2026-03-07T12:00,15.1
2026-03-07T13:00,16.2
2026-03-07T14:00,16.4
2026-03-07T15:00,16.4
2026-03-07T16:00,16.4
2026-03-07T17:00,14.7
2026-03-07T18:00,12.8
2026-03-07T19:00,11.5
2026-03-07T20:00,10.2
2026-03-07T21:00,9.0
2026-03-07T22:00,8.1
2026-03-07T23:00,7.3
